`acidity,alcohol,body,classes,food_matching,grape,label2,name_en,name_ko,png,price,sweet,tanin,vintage,winery
2,14~15 %,2,레드,"치즈,스튜",블랜드 (Blend ) ,마스카 델 타코  Masca del Tacco,"Masca del Tacco, ‘Lu’Li’ Appassite Passito","마스카 델 타코, ‘루리’ 아파씨테 파씨토",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168855.png,"100,000원",1,3,2019,뿔리아(Puglia)
2,15~16 %,2,레드,"치즈, 블루치즈,트러플,양고기",진판델 (Zinfandel) ,마스카 델 타코  Masca del Tacco,"Masca del Tacco, Zinfandel Collezione di Famiglia","마스카 델 타코, 진판델 콜레지오네 디 파밀리아",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168854.png,가격정보없음,1,4,2019,뿔리아(Puglia)
2,14~15 %,2,레드,"치즈, 블루치즈,미트, 스튜,트러플,양고기",진판델 (Zinfandel) ,마스카 델 타코  Masca del Tacco,"Masca del Tacco, Zinfandel","마스카 델 타코, 진판델 ",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168853.png,가격정보없음,1,3,2019,뿔리아(Puglia)
3,14~15 %,3,레드,추천 정보 없음,템프라니요 (Tempranillo) ,롤랑 갈라레타  Rolland Galarreta,"Rolland Galarreta, Ribera Del Duero","롤랑 갈라레타, 리베라 델 두에로",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168852.png,가격정보없음,1,4,2018,리베라 델 두에로(Ribera del Duero)
2,14~15 %,2,레드,추천 정보 없음,모나스트렐 (Monastrell) ,시에라 노르테  Sierra Norte,"Sierra Norte, Equilibrio 9","시에라 노르테, 이퀼리브리오 9",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168851.png,"59,000원",1,3,2018,후미야(Jumilla)
2,14~15 %,2,레드,추천 정보 없음,모나스트렐 (Monastrell) ,시에라 노르테  Sierra Norte,"Sierra Norte, Equilibrio","시에라 노르테, 이퀼리브리오",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168850.png,"39,000원",1,3,2019,후미야(Jumilla)
4,12~13 %,4,로제,추천 정보 없음,카베르네 소비뇽 (Cabernet Sauvignon) ,프리시전 와인  Precision Wine,"Precision, Navigator Rose","프리시전, 네비게이터 로제",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168849.png,가격정보없음,1,1,2020,캘리포니아(California)
4,14~15 %,4,화이트,"식전주,생선회",소비뇽 블랑 (Sauvignon Blanc) ,프리시전 와인  Precision Wine,"Precision, Navigator Sauvignon Blanc","프리시전, 네비게이터 소비뇽 블랑",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168848.png,가격정보없음,1,1,2020,캘리포니아(California)
3,13~14 %,3,레드,한식,메를로 (Merlot) ,꼬르디에  Cordier,Chateau La Croix de Queynac,샤토 라 크로와 드 케낙,https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168847.png,"70,000원",1,3,2019,보르도(Bordeaux)
4,14~15 %,4,레드,추천 정보 없음,메를로 (Merlot) ,꼬르디에  Cordier,Chateau Cabos,샤토 카보,https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168846.png,"70,000원",1,3,2018,보르도(Bordeaux)
3,13~14 %,3,화이트,"치즈,가금류, 치킨,파스타,샐러드",샤르도네 (Chardonnay) ,파고 아일레스  Pago Ayles,"Pago Ayles, Serendipia Chardonnay","파고 아일레스, 세렌디피아 샤르도네",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168845.png,"39,800원",1,1,2018,까리레나(Carinena)
3,14~15 %,3,레드,"피자,샐러드",가르나차  (Garnacha) ,파고 아일레스  Pago Ayles,"Pago Ayles, Senda de Lenadores","파고 아일레스, 센다 데 레나도레스",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168844.png,"44,800원",1,3,2017,생산지역미상
